"Epoch","s3dis/semseg-pt-v3m1-0-base - _step","s3dis/semseg-pt-v3m1-0-base - _step__MIN","s3dis/semseg-pt-v3m1-0-base - _step__MAX","s3dis/semseg-pt-v3m1-0-base - train/loss","s3dis/semseg-pt-v3m1-0-base - train/loss__MIN","s3dis/semseg-pt-v3m1-0-base - train/loss__MAX"
"30","15300","15300","15300","0.24383203358042474","0.24383203358042474","0.24383203358042474"
"31","15810","15810","15810","0.2528253813876825","0.2528253813876825","0.2528253813876825"
"32","16320","16320","16320","0.24089511600779553","0.24089511600779553","0.24089511600779553"
"33","16830","16830","16830","0.23747143460547224","0.23747143460547224","0.23747143460547224"
"34","17340","17340","17340","0.2487067785771454","0.2487067785771454","0.2487067785771454"
"35","17850","17850","17850","0.23237164911686206","0.23237164911686206","0.23237164911686206"
"36","18360","18360","18360","0.23197069677944276","0.23197069677944276","0.23197069677944276"
"37","18870","18870","18870","0.2213053009527571","0.2213053009527571","0.2213053009527571"
"38","19380","19380","19380","0.21597659048788687","0.21597659048788687","0.21597659048788687"
"39","19890","19890","19890","0.2205079759745037","0.2205079759745037","0.2205079759745037"
"40","20400","20400","20400","0.21979781259216513","0.21979781259216513","0.21979781259216513"
"41","20910","20910","20910","0.20656182500077228","0.20656182500077228","0.20656182500077228"
"42","21420","21420","21420","0.2104366920742334","0.2104366920742334","0.2104366920742334"
"43","21930","21930","21930","0.20677579525931208","0.20677579525931208","0.20677579525931208"
"44","22440","22440","22440","0.2026056745619166","0.2026056745619166","0.2026056745619166"
"45","22950","22950","22950","0.19680573073964494","0.19680573073964494","0.19680573073964494"
"46","23460","23460","23460","0.19817012919514787","0.19817012919514787","0.19817012919514787"
"47","23970","23970","23970","0.19631820281638818","0.19631820281638818","0.19631820281638818"
"48","24480","24480","24480","0.19301013950915896","0.19301013950915896","0.19301013950915896"
"49","24990","24990","24990","0.18067178935104725","0.18067178935104725","0.18067178935104725"
"50","25500","25500","25500","0.1833874220795491","0.1833874220795491","0.1833874220795491"
"51","26010","26010","26010","0.184405596817241","0.184405596817241","0.184405596817241"
"52","26520","26520","26520","0.17847949605362087","0.17847949605362087","0.17847949605362087"
"53","27030","27030","27030","0.17488174474999016","0.17488174474999016","0.17488174474999016"
"54","27540","27540","27540","0.17268389778978685","0.17268389778978685","0.17268389778978685"
"55","28050","28050","28050","0.1669360809612508","0.1669360809612508","0.1669360809612508"
"56","28560","28560","28560","0.17518680849496057","0.17518680849496057","0.17518680849496057"
"57","29070","29070","29070","0.1649937676448448","0.1649937676448448","0.1649937676448448"
"58","29580","29580","29580","0.16146894865760616","0.16146894865760616","0.16146894865760616"
"59","30090","30090","30090","0.16168577931090897","0.16168577931090897","0.16168577931090897"
"60","30600","30600","30600","0.15624822610441377","0.15624822610441377","0.15624822610441377"
"61","31110","31110","31110","0.15803362275747693","0.15803362275747693","0.15803362275747693"
"62","31620","31620","31620","0.1585377360821939","0.1585377360821939","0.1585377360821939"
"63","32130","32130","32130","0.14962986701113337","0.14962986701113337","0.14962986701113337"
"64","32640","32640","32640","0.15052568037428107","0.15052568037428107","0.15052568037428107"
"65","33150","33150","33150","0.1469525505368616","0.1469525505368616","0.1469525505368616"
"66","33660","33660","33660","0.14739153976826108","0.14739153976826108","0.14739153976826108"
"67","34170","34170","34170","0.14277206405120738","0.14277206405120738","0.14277206405120738"
"68","34680","34680","34680","0.14430329066281225","0.14430329066281225","0.14430329066281225"
"69","35190","35190","35190","0.14288907048164629","0.14288907048164629","0.14288907048164629"
"70","35700","35700","35700","0.13860682951761227","0.13860682951761227","0.13860682951761227"
"71","36210","36210","36210","0.1342578304894999","0.1342578304894999","0.1342578304894999"
"72","36720","36720","36720","0.13881507358130288","0.13881507358130288","0.13881507358130288"
"73","37230","37230","37230","0.13468667252683172","0.13468667252683172","0.13468667252683172"
"74","37740","37740","37740","0.1307061461841359","0.1307061461841359","0.1307061461841359"
"75","38250","38250","38250","0.13060255385935307","0.13060255385935307","0.13060255385935307"
"76","38760","38760","38760","0.13247440648721714","0.13247440648721714","0.13247440648721714"
"77","39270","39270","39270","0.12583367500235051","0.12583367500235051","0.12583367500235051"
"78","39780","39780","39780","0.1277613654148345","0.1277613654148345","0.1277613654148345"
"79","40290","40290","40290","0.1245403284973958","0.1245403284973958","0.1245403284973958"
"80","40800","40800","40800","0.12313517724328181","0.12313517724328181","0.12313517724328181"
"81","41310","41310","41310","0.11786008404896539","0.11786008404896539","0.11786008404896539"
"82","41820","41820","41820","0.12218814205889608","0.12218814205889608","0.12218814205889608"
"83","42330","42330","42330","0.11955728655790582","0.11955728655790582","0.11955728655790582"
"84","42840","42840","42840","0.1155926077900564","0.1155926077900564","0.1155926077900564"
"85","43350","43350","43350","0.11452190632037088","0.11452190632037088","0.11452190632037088"
"86","43860","43860","43860","0.11423857443619008","0.11423857443619008","0.11423857443619008"
"87","44370","44370","44370","0.1137835549081073","0.1137835549081073","0.1137835549081073"
"88","44880","44880","44880","0.11310152389547404","0.11310152389547404","0.11310152389547404"
"89","45390","45390","45390","0.11425041781336653","0.11425041781336653","0.11425041781336653"
"90","45900","45900","45900","0.11309333489659955","0.11309333489659955","0.11309333489659955"
"91","46410","46410","46410","0.11189017801308164","0.11189017801308164","0.11189017801308164"
"92","46920","46920","46920","0.10950402874572604","0.10950402874572604","0.10950402874572604"
"93","47430","47430","47430","0.11261689901790198","0.11261689901790198","0.11261689901790198"
"94","47940","47940","47940","0.11250678772727649","0.11250678772727649","0.11250678772727649"
"95","48450","48450","48450","0.10782725851179338","0.10782725851179338","0.10782725851179338"
"96","48960","48960","48960","0.10853448927986856","0.10853448927986856","0.10853448927986856"
"97","49470","49470","49470","0.10873363477488358","0.10873363477488358","0.10873363477488358"
"98","49980","49980","49980","0.1082833812005964","0.1082833812005964","0.1082833812005964"
"99","50490","50490","50490","0.11000767483138571","0.11000767483138571","0.11000767483138571"
"100","51000","51000","51000","0.10789098426261369","0.10789098426261369","0.10789098426261369"
