"trainer/global_step","SPT-64 - _step","SPT-64 - _step__MIN","SPT-64 - _step__MAX","SPT-64 - train/loss","SPT-64 - train/loss__MIN","SPT-64 - train/loss__MAX"
"564","236","236","236","3.699094772338867","3.699094772338867","3.699094772338867"
"569","238","238","238","3.459843397140503","3.459843397140503","3.459843397140503"
"574","240","240","240","3.499483823776245","3.499483823776245","3.499483823776245"
"579","242","242","242","3.44927978515625","3.44927978515625","3.44927978515625"
"584","244","244","244","3.701310634613037","3.701310634613037","3.701310634613037"
"589","246","246","246","3.3883185386657715","3.3883185386657715","3.3883185386657715"
"594","248","248","248","3.4833216667175293","3.4833216667175293","3.4833216667175293"
"599","251","251","251","3.523068904876709","3.523068904876709","3.523068904876709"
"604","253","253","253","3.1471610069274902","3.1471610069274902","3.1471610069274902"
"609","255","255","255","3.2501189708709717","3.2501189708709717","3.2501189708709717"
"614","257","257","257","3.573989152908325","3.573989152908325","3.573989152908325"
"619","259","259","259","3.778357744216919","3.778357744216919","3.778357744216919"
"624","261","261","261","3.4285073280334473","3.4285073280334473","3.4285073280334473"
"629","263","263","263","3.202244520187378","3.202244520187378","3.202244520187378"
"634","265","265","265","3.2296371459960938","3.2296371459960938","3.2296371459960938"
"639","267","267","267","3.474752426147461","3.474752426147461","3.474752426147461"
"644","269","269","269","3.2446296215057373","3.2446296215057373","3.2446296215057373"
"649","272","272","272","3.447944164276123","3.447944164276123","3.447944164276123"
"654","274","274","274","3.385521650314331","3.385521650314331","3.385521650314331"
"659","276","276","276","3.271090030670166","3.271090030670166","3.271090030670166"
"664","278","278","278","3.374171733856201","3.374171733856201","3.374171733856201"
"669","280","280","280","3.4016451835632324","3.4016451835632324","3.4016451835632324"
"674","282","282","282","3.5489261150360107","3.5489261150360107","3.5489261150360107"
"679","284","284","284","3.3291327953338623","3.3291327953338623","3.3291327953338623"
"684","286","286","286","3.1259758472442627","3.1259758472442627","3.1259758472442627"
"689","288","288","288","4.1772356033325195","4.1772356033325195","4.1772356033325195"
