"Iter","s3dis/semseg-octformer-v1m1-0-lit - _step","s3dis/semseg-octformer-v1m1-0-lit - _step__MIN","s3dis/semseg-octformer-v1m1-0-lit - _step__MAX","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MIN","s3dis/semseg-octformer-v1m1-0-lit - train_batch/loss__MAX"
"52","52","52","52","1.3417192697525024","1.3417192697525024","1.3417192697525024"
"53","53","53","53","1.2204253673553467","1.2204253673553467","1.2204253673553467"
"54","54","54","54","1.405825138092041","1.405825138092041","1.405825138092041"
"55","55","55","55","1.1597678661346436","1.1597678661346436","1.1597678661346436"
"56","56","56","56","1.2587945461273193","1.2587945461273193","1.2587945461273193"
"57","57","57","57","1.4487605094909668","1.4487605094909668","1.4487605094909668"
"58","58","58","58","1.0891971588134766","1.0891971588134766","1.0891971588134766"
"59","59","59","59","1.4181698560714722","1.4181698560714722","1.4181698560714722"
"60","60","60","60","1.2750847339630127","1.2750847339630127","1.2750847339630127"
"61","61","61","61","1.1098259687423706","1.1098259687423706","1.1098259687423706"
"62","62","62","62","1.1797019243240356","1.1797019243240356","1.1797019243240356"
"63","63","63","63","1.2442948818206787","1.2442948818206787","1.2442948818206787"
"64","64","64","64","1.145176649093628","1.145176649093628","1.145176649093628"
"65","65","65","65","1.07218337059021","1.07218337059021","1.07218337059021"
"66","66","66","66","1.3302139043807983","1.3302139043807983","1.3302139043807983"
"67","67","67","67","1.3685880899429321","1.3685880899429321","1.3685880899429321"
"68","68","68","68","1.1979000568389893","1.1979000568389893","1.1979000568389893"
"69","69","69","69","1.3944778442382812","1.3944778442382812","1.3944778442382812"
"70","70","70","70","1.1849956512451172","1.1849956512451172","1.1849956512451172"
"71","71","71","71","1.2790238857269287","1.2790238857269287","1.2790238857269287"
"72","72","72","72","1.139382004737854","1.139382004737854","1.139382004737854"
"73","73","73","73","1.1903166770935059","1.1903166770935059","1.1903166770935059"
"74","74","74","74","1.2239822149276733","1.2239822149276733","1.2239822149276733"
"75","75","75","75","1.0735065937042236","1.0735065937042236","1.0735065937042236"
"76","76","76","76","1.2099440097808838","1.2099440097808838","1.2099440097808838"
"77","77","77","77","1.2096290588378906","1.2096290588378906","1.2096290588378906"
"78","78","78","78","1.3724867105484009","1.3724867105484009","1.3724867105484009"
"79","79","79","79","1.1802390813827515","1.1802390813827515","1.1802390813827515"
"80","80","80","80","1.2853758335113525","1.2853758335113525","1.2853758335113525"
"81","81","81","81","1.0614292621612549","1.0614292621612549","1.0614292621612549"
"82","82","82","82","1.0154588222503662","1.0154588222503662","1.0154588222503662"
"83","83","83","83","1.1573508977890015","1.1573508977890015","1.1573508977890015"
"84","84","84","84","1.2235796451568604","1.2235796451568604","1.2235796451568604"
"85","85","85","85","1.1418603658676147","1.1418603658676147","1.1418603658676147"
"86","86","86","86","1.3033281564712524","1.3033281564712524","1.3033281564712524"
"87","87","87","87","1.022020697593689","1.022020697593689","1.022020697593689"
"88","88","88","88","1.0883411169052124","1.0883411169052124","1.0883411169052124"
"89","89","89","89","1.2382465600967407","1.2382465600967407","1.2382465600967407"
"90","90","90","90","1.0155926942825317","1.0155926942825317","1.0155926942825317"
"91","91","91","91","1.3907760381698608","1.3907760381698608","1.3907760381698608"
"92","92","92","92","1.0912339687347412","1.0912339687347412","1.0912339687347412"
"93","93","93","93","1.1267966032028198","1.1267966032028198","1.1267966032028198"
"94","94","94","94","1.239061713218689","1.239061713218689","1.239061713218689"
"95","95","95","95","1.206977367401123","1.206977367401123","1.206977367401123"
"96","96","96","96","1.2203336954116821","1.2203336954116821","1.2203336954116821"
"97","97","97","97","1.1563358306884766","1.1563358306884766","1.1563358306884766"
"98","98","98","98","1.0188568830490112","1.0188568830490112","1.0188568830490112"
"99","99","99","99","1.0157394409179688","1.0157394409179688","1.0157394409179688"
"100","100","100","100","1.2019184827804565","1.2019184827804565","1.2019184827804565"
"101","101","101","101","1.2677438259124756","1.2677438259124756","1.2677438259124756"
"102","102","102","102","1.076512098312378","1.076512098312378","1.076512098312378"
"103","103","103","103","1.069523811340332","1.069523811340332","1.069523811340332"
"104","104","104","104","0.9741357564926147","0.9741357564926147","0.9741357564926147"
"105","105","105","105","1.1961438655853271","1.1961438655853271","1.1961438655853271"
"106","106","106","106","1.1350719928741455","1.1350719928741455","1.1350719928741455"
"107","107","107","107","1.0924475193023682","1.0924475193023682","1.0924475193023682"
"108","108","108","108","1.138306736946106","1.138306736946106","1.138306736946106"
"109","109","109","109","1.1624404191970825","1.1624404191970825","1.1624404191970825"
"110","110","110","110","1.1110095977783203","1.1110095977783203","1.1110095977783203"
"111","111","111","111","1.287247896194458","1.287247896194458","1.287247896194458"
"112","112","112","112","1.1649655103683472","1.1649655103683472","1.1649655103683472"
"113","113","113","113","1.0191459655761719","1.0191459655761719","1.0191459655761719"
"114","114","114","114","0.9785974025726318","0.9785974025726318","0.9785974025726318"
"115","115","115","115","1.0537971258163452","1.0537971258163452","1.0537971258163452"
"116","116","116","116","1.1948907375335693","1.1948907375335693","1.1948907375335693"
"117","117","117","117","1.2757484912872314","1.2757484912872314","1.2757484912872314"
"118","118","118","118","1.0978331565856934","1.0978331565856934","1.0978331565856934"
"119","119","119","119","1.2776607275009155","1.2776607275009155","1.2776607275009155"
"120","120","120","120","1.0970127582550049","1.0970127582550049","1.0970127582550049"
"121","121","121","121","1.2748160362243652","1.2748160362243652","1.2748160362243652"
"122","122","122","122","1.0453625917434692","1.0453625917434692","1.0453625917434692"
"123","123","123","123","1.0614845752716064","1.0614845752716064","1.0614845752716064"
"124","124","124","124","1.2597042322158813","1.2597042322158813","1.2597042322158813"
"125","125","125","125","0.9255660176277161","0.9255660176277161","0.9255660176277161"
"126","126","126","126","1.1258078813552856","1.1258078813552856","1.1258078813552856"
"127","127","127","127","1.0793954133987427","1.0793954133987427","1.0793954133987427"
"128","128","128","128","1.2148687839508057","1.2148687839508057","1.2148687839508057"
"129","129","129","129","1.1495370864868164","1.1495370864868164","1.1495370864868164"
"130","130","130","130","1.2241483926773071","1.2241483926773071","1.2241483926773071"
"131","131","131","131","1.0637089014053345","1.0637089014053345","1.0637089014053345"
"132","132","132","132","1.0216476917266846","1.0216476917266846","1.0216476917266846"
"133","133","133","133","1.117426872253418","1.117426872253418","1.117426872253418"
"134","134","134","134","0.9779385328292847","0.9779385328292847","0.9779385328292847"
"135","135","135","135","1.1208031177520752","1.1208031177520752","1.1208031177520752"
"136","136","136","136","1.1668211221694946","1.1668211221694946","1.1668211221694946"
"137","137","137","137","1.1773890256881714","1.1773890256881714","1.1773890256881714"
"138","138","138","138","1.1564726829528809","1.1564726829528809","1.1564726829528809"
"139","139","139","139","1.2471343278884888","1.2471343278884888","1.2471343278884888"
"140","140","140","140","1.046573519706726","1.046573519706726","1.046573519706726"
"141","141","141","141","1.1117292642593384","1.1117292642593384","1.1117292642593384"
"142","142","142","142","1.0798238515853882","1.0798238515853882","1.0798238515853882"
"143","143","143","143","1.0906318426132202","1.0906318426132202","1.0906318426132202"
"144","144","144","144","1.0029048919677734","1.0029048919677734","1.0029048919677734"
"145","145","145","145","1.1457270383834839","1.1457270383834839","1.1457270383834839"
"146","146","146","146","1.0286024808883667","1.0286024808883667","1.0286024808883667"
"147","147","147","147","1.0495665073394775","1.0495665073394775","1.0495665073394775"
"148","148","148","148","1.2876702547073364","1.2876702547073364","1.2876702547073364"
"149","149","149","149","1.1409128904342651","1.1409128904342651","1.1409128904342651"
"150","150","150","150","1.1625984907150269","1.1625984907150269","1.1625984907150269"
"151","151","151","151","1.164899230003357","1.164899230003357","1.164899230003357"
"152","152","152","152","1.1186412572860718","1.1186412572860718","1.1186412572860718"
"153","153","153","153","1.1332520246505737","1.1332520246505737","1.1332520246505737"
"154","154","154","154","1.040348768234253","1.040348768234253","1.040348768234253"
"155","155","155","155","0.9287072420120239","0.9287072420120239","0.9287072420120239"
"156","156","156","156","1.2060637474060059","1.2060637474060059","1.2060637474060059"
"157","157","157","157","1.0183587074279785","1.0183587074279785","1.0183587074279785"
"158","158","158","158","1.1482499837875366","1.1482499837875366","1.1482499837875366"
"159","159","159","159","0.9393324851989746","0.9393324851989746","0.9393324851989746"
"160","160","160","160","1.0056726932525635","1.0056726932525635","1.0056726932525635"
"161","161","161","161","1.1497193574905396","1.1497193574905396","1.1497193574905396"
"162","162","162","162","1.0316314697265625","1.0316314697265625","1.0316314697265625"
"163","163","163","163","1.1231049299240112","1.1231049299240112","1.1231049299240112"
"164","164","164","164","1.0566765069961548","1.0566765069961548","1.0566765069961548"
"165","165","165","165","1.008123755455017","1.008123755455017","1.008123755455017"
"166","166","166","166","1.1123520135879517","1.1123520135879517","1.1123520135879517"
"167","167","167","167","1.196831464767456","1.196831464767456","1.196831464767456"
"168","168","168","168","1.0002154111862183","1.0002154111862183","1.0002154111862183"
"169","169","169","169","0.9746836423873901","0.9746836423873901","0.9746836423873901"
"170","170","170","170","1.1050224304199219","1.1050224304199219","1.1050224304199219"
"171","171","171","171","0.998755156993866","0.998755156993866","0.998755156993866"
"172","172","172","172","1.1348192691802979","1.1348192691802979","1.1348192691802979"
"173","173","173","173","1.2895264625549316","1.2895264625549316","1.2895264625549316"
"174","174","174","174","0.9669263362884521","0.9669263362884521","0.9669263362884521"
"175","175","175","175","1.224999189376831","1.224999189376831","1.224999189376831"
"176","176","176","176","1.0747894048690796","1.0747894048690796","1.0747894048690796"
"177","177","177","177","1.3400691747665405","1.3400691747665405","1.3400691747665405"
"178","178","178","178","1.1041980981826782","1.1041980981826782","1.1041980981826782"
"179","179","179","179","1.2116273641586304","1.2116273641586304","1.2116273641586304"
"180","180","180","180","1.2761958837509155","1.2761958837509155","1.2761958837509155"
"181","181","181","181","1.0446982383728027","1.0446982383728027","1.0446982383728027"
"182","182","182","182","1.1111315488815308","1.1111315488815308","1.1111315488815308"
"183","183","183","183","0.9247764945030212","0.9247764945030212","0.9247764945030212"
"184","184","184","184","1.1623501777648926","1.1623501777648926","1.1623501777648926"
"185","185","185","185","1.0798985958099365","1.0798985958099365","1.0798985958099365"
"186","186","186","186","0.9988394379615784","0.9988394379615784","0.9988394379615784"
"187","187","187","187","0.9420434236526489","0.9420434236526489","0.9420434236526489"
"188","188","188","188","1.0323666334152222","1.0323666334152222","1.0323666334152222"
"189","189","189","189","1.1949306726455688","1.1949306726455688","1.1949306726455688"
"190","190","190","190","1.0787039995193481","1.0787039995193481","1.0787039995193481"
"191","191","191","191","0.9689056277275085","0.9689056277275085","0.9689056277275085"
"192","192","192","192","0.9560378789901733","0.9560378789901733","0.9560378789901733"
"193","193","193","193","0.9063092470169067","0.9063092470169067","0.9063092470169067"
"194","194","194","194","1.2043880224227905","1.2043880224227905","1.2043880224227905"
"195","195","195","195","1.1186836957931519","1.1186836957931519","1.1186836957931519"
"196","196","196","196","1.0519843101501465","1.0519843101501465","1.0519843101501465"
"197","197","197","197","1.3405375480651855","1.3405375480651855","1.3405375480651855"
"198","198","198","198","1.1841466426849365","1.1841466426849365","1.1841466426849365"
"199","199","199","199","0.9400163888931274","0.9400163888931274","0.9400163888931274"
"200","200","200","200","1.2109988927841187","1.2109988927841187","1.2109988927841187"
"201","201","201","201","1.1345463991165161","1.1345463991165161","1.1345463991165161"
"202","202","202","202","0.9794061183929443","0.9794061183929443","0.9794061183929443"
"203","203","203","203","0.9422200918197632","0.9422200918197632","0.9422200918197632"
"204","204","204","204","0.9813042879104614","0.9813042879104614","0.9813042879104614"
"205","205","205","205","1.0576952695846558","1.0576952695846558","1.0576952695846558"
"206","206","206","206","1.0577336549758911","1.0577336549758911","1.0577336549758911"
"207","207","207","207","1.0182744264602661","1.0182744264602661","1.0182744264602661"
"208","208","208","208","0.8373847603797913","0.8373847603797913","0.8373847603797913"
