"Epoch","s3dis/semseg-octformer-v1m1-0-lit - _step","s3dis/semseg-octformer-v1m1-0-lit - _step__MIN","s3dis/semseg-octformer-v1m1-0-lit - _step__MAX","s3dis/semseg-octformer-v1m1-0-lit - train/loss","s3dis/semseg-octformer-v1m1-0-lit - train/loss__MIN","s3dis/semseg-octformer-v1m1-0-lit - train/loss__MAX"
"65","4940","4940","4940","0.7275337608237016","0.7275337608237016","0.7275337608237016"
"66","5016","5016","5016","0.7228252966152994","0.7228252966152994","0.7228252966152994"
"67","5092","5092","5092","0.7164242597002732","0.7164242597002732","0.7164242597002732"
"68","5168","5168","5168","0.7110907968721891","0.7110907968721891","0.7110907968721891"
"69","5244","5244","5244","0.7097596232044069","0.7097596232044069","0.7097596232044069"
"70","5320","5320","5320","0.7062818604080301","0.7062818604080301","0.7062818604080301"
"71","5396","5396","5396","0.708025787221758","0.708025787221758","0.708025787221758"
"72","5472","5472","5472","0.7170033635277497","0.7170033635277497","0.7170033635277497"
"73","5548","5548","5548","0.716874919439617","0.716874919439617","0.716874919439617"
"74","5624","5624","5624","0.7058009497429195","0.7058009497429195","0.7058009497429195"
"75","5700","5700","5700","0.7050046136504725","0.7050046136504725","0.7050046136504725"
"76","5776","5776","5776","0.7180386640523609","0.7180386640523609","0.7180386640523609"
"77","5852","5852","5852","0.7063236848304146","0.7063236848304146","0.7063236848304146"
"78","5928","5928","5928","0.6934118557133173","0.6934118557133173","0.6934118557133173"
"79","6004","6004","6004","0.6916816791421488","0.6916816791421488","0.6916816791421488"
"80","6080","6080","6080","0.6767579054361895","0.6767579054361895","0.6767579054361895"
"81","6156","6156","6156","0.6925759409603319","0.6925759409603319","0.6925759409603319"
"82","6232","6232","6232","0.7014097006697404","0.7014097006697404","0.7014097006697404"
"83","6308","6308","6308","0.6958820474775214","0.6958820474775214","0.6958820474775214"
"84","6384","6384","6384","0.6928860686327282","0.6928860686327282","0.6928860686327282"
"85","6460","6460","6460","0.6951840551275956","0.6951840551275956","0.6951840551275956"
"86","6536","6536","6536","0.6846330620740589","0.6846330620740589","0.6846330620740589"
"87","6612","6612","6612","0.6839479411903181","0.6839479411903181","0.6839479411903181"
"88","6688","6688","6688","0.6811783251009489","0.6811783251009489","0.6811783251009489"
"89","6764","6764","6764","0.6750003891555887","0.6750003891555887","0.6750003891555887"
"90","6840","6840","6840","0.6785916384113463","0.6785916384113463","0.6785916384113463"
"91","6916","6916","6916","0.6851430339248556","0.6851430339248556","0.6851430339248556"
"92","6992","6992","6992","0.6589392831451014","0.6589392831451014","0.6589392831451014"
"93","7068","7068","7068","0.6601685889457402","0.6601685889457402","0.6601685889457402"
"94","7144","7144","7144","0.663160152733326","0.663160152733326","0.663160152733326"
"95","7220","7220","7220","0.6650510967562073","0.6650510967562073","0.6650510967562073"
"96","7296","7296","7296","0.6537596104960692","0.6537596104960692","0.6537596104960692"
"97","7372","7372","7372","0.6648705707568872","0.6648705707568872","0.6648705707568872"
"98","7448","7448","7448","0.6783176809549332","0.6783176809549332","0.6783176809549332"
"99","7524","7524","7524","0.6724100097229606","0.6724100097229606","0.6724100097229606"
"100","7600","7600","7600","0.6705853566527367","0.6705853566527367","0.6705853566527367"
