"Iter","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train_batch/loss","s3dis/semseg-pt-v1-0-base - train_batch/loss__MIN","s3dis/semseg-pt-v1-0-base - train_batch/loss__MAX"
"65","65","65","65","1.0519115924835205","1.0519115924835205","1.0519115924835205"
"66","66","66","66","0.9379122853279114","0.9379122853279114","0.9379122853279114"
"67","67","67","67","0.8869235515594482","0.8869235515594482","0.8869235515594482"
"68","68","68","68","0.8426772356033325","0.8426772356033325","0.8426772356033325"
"69","69","69","69","1.0230255126953125","1.0230255126953125","1.0230255126953125"
"70","70","70","70","1.4223533868789673","1.4223533868789673","1.4223533868789673"
"71","71","71","71","0.8209394216537476","0.8209394216537476","0.8209394216537476"
"72","72","72","72","0.9154422879219055","0.9154422879219055","0.9154422879219055"
"73","73","73","73","0.9086340665817261","0.9086340665817261","0.9086340665817261"
"74","74","74","74","0.8833006024360657","0.8833006024360657","0.8833006024360657"
"75","75","75","75","0.9911963939666748","0.9911963939666748","0.9911963939666748"
"76","76","76","76","1.0609064102172852","1.0609064102172852","1.0609064102172852"
"77","77","77","77","1.0820434093475342","1.0820434093475342","1.0820434093475342"
"78","78","78","78","0.8986455202102661","0.8986455202102661","0.8986455202102661"
"79","79","79","79","0.9629128575325012","0.9629128575325012","0.9629128575325012"
"80","80","80","80","0.9147650003433228","0.9147650003433228","0.9147650003433228"
"81","81","81","81","0.8708961606025696","0.8708961606025696","0.8708961606025696"
"82","82","82","82","1.0590345859527588","1.0590345859527588","1.0590345859527588"
"83","83","83","83","1.04461669921875","1.04461669921875","1.04461669921875"
"84","84","84","84","0.894974946975708","0.894974946975708","0.894974946975708"
"85","85","85","85","0.6501408219337463","0.6501408219337463","0.6501408219337463"
"86","86","86","86","1.1086307764053345","1.1086307764053345","1.1086307764053345"
"87","87","87","87","0.9339318871498108","0.9339318871498108","0.9339318871498108"
"88","88","88","88","0.9469504952430725","0.9469504952430725","0.9469504952430725"
"89","89","89","89","1.0828934907913208","1.0828934907913208","1.0828934907913208"
"90","90","90","90","1.0703214406967163","1.0703214406967163","1.0703214406967163"
"91","91","91","91","0.9816679358482361","0.9816679358482361","0.9816679358482361"
"92","92","92","92","0.8363409042358398","0.8363409042358398","0.8363409042358398"
"93","93","93","93","0.7905310392379761","0.7905310392379761","0.7905310392379761"
"94","94","94","94","1.0210907459259033","1.0210907459259033","1.0210907459259033"
"95","95","95","95","0.7940247058868408","0.7940247058868408","0.7940247058868408"
"96","96","96","96","0.6247333288192749","0.6247333288192749","0.6247333288192749"
"97","97","97","97","0.8759741187095642","0.8759741187095642","0.8759741187095642"
"98","98","98","98","0.8664464950561523","0.8664464950561523","0.8664464950561523"
"99","99","99","99","0.7854982018470764","0.7854982018470764","0.7854982018470764"
"100","100","100","100","0.8819116353988647","0.8819116353988647","0.8819116353988647"
"101","101","101","101","0.8270413279533386","0.8270413279533386","0.8270413279533386"
"102","102","102","102","0.9444773197174072","0.9444773197174072","0.9444773197174072"
"103","103","103","103","0.6479104161262512","0.6479104161262512","0.6479104161262512"
"104","104","104","104","1.1645115613937378","1.1645115613937378","1.1645115613937378"
"105","105","105","105","0.7305892109870911","0.7305892109870911","0.7305892109870911"
"106","106","106","106","0.7818922400474548","0.7818922400474548","0.7818922400474548"
"107","107","107","107","0.9391899108886719","0.9391899108886719","0.9391899108886719"
"108","108","108","108","0.8952252268791199","0.8952252268791199","0.8952252268791199"
"109","109","109","109","0.9141719341278076","0.9141719341278076","0.9141719341278076"
"110","110","110","110","0.7587308883666992","0.7587308883666992","0.7587308883666992"
"111","111","111","111","0.9457329511642456","0.9457329511642456","0.9457329511642456"
"112","112","112","112","0.7856546640396118","0.7856546640396118","0.7856546640396118"
"113","113","113","113","0.8001375198364258","0.8001375198364258","0.8001375198364258"
"114","114","114","114","0.7622086405754089","0.7622086405754089","0.7622086405754089"
"115","115","115","115","0.8076838254928589","0.8076838254928589","0.8076838254928589"
"116","116","116","116","0.8540762662887573","0.8540762662887573","0.8540762662887573"
"117","117","117","117","0.8366784453392029","0.8366784453392029","0.8366784453392029"
"118","118","118","118","0.821835994720459","0.821835994720459","0.821835994720459"
"119","119","119","119","0.9010581970214844","0.9010581970214844","0.9010581970214844"
"120","120","120","120","0.7461788654327393","0.7461788654327393","0.7461788654327393"
"121","121","121","121","0.8908429145812988","0.8908429145812988","0.8908429145812988"
"122","122","122","122","0.8696836233139038","0.8696836233139038","0.8696836233139038"
"123","123","123","123","0.8991549015045166","0.8991549015045166","0.8991549015045166"
"124","124","124","124","0.8342307806015015","0.8342307806015015","0.8342307806015015"
"125","125","125","125","0.7395002245903015","0.7395002245903015","0.7395002245903015"
