"Epoch","s3dis/semseg-pt-v1-0-base - _step","s3dis/semseg-pt-v1-0-base - _step__MIN","s3dis/semseg-pt-v1-0-base - _step__MAX","s3dis/semseg-pt-v1-0-base - train/loss","s3dis/semseg-pt-v1-0-base - train/loss__MIN","s3dis/semseg-pt-v1-0-base - train/loss__MAX"
"79","30178","30178","30178","0.12028907993272026","0.12028907993272026","0.12028907993272026"
"80","30560","30560","30560","0.12398278491854356","0.12398278491854356","0.12398278491854356"
"81","30942","30942","30942","0.12140368685828454","0.12140368685828454","0.12140368685828454"
"82","31324","31324","31324","0.12257551165853495","0.12257551165853495","0.12257551165853495"
"83","31706","31706","31706","0.12031264042394012","0.12031264042394012","0.12031264042394012"
"84","32088","32088","32088","0.12034005379177513","0.12034005379177513","0.12034005379177513"
"85","32470","32470","32470","0.11726574803561128","0.11726574803561128","0.11726574803561128"
"86","32852","32852","32852","0.12666978825527336","0.12666978825527336","0.12666978825527336"
"87","33234","33234","33234","0.12137845350692722","0.12137845350692722","0.12137845350692722"
"88","33616","33616","33616","0.11902298831931896","0.11902298831931896","0.11902298831931896"
"89","33998","33998","33998","0.13150349548037762","0.13150349548037762","0.13150349548037762"
"90","34380","34380","34380","0.11817817260262542","0.11817817260262542","0.11817817260262542"
"91","34762","34762","34762","0.12032823200235192","0.12032823200235192","0.12032823200235192"
"92","35144","35144","35144","0.11930467630127026","0.11930467630127026","0.11930467630127026"
"93","35526","35526","35526","0.11615738420898378","0.11615738420898378","0.11615738420898378"
"94","35908","35908","35908","0.12188337227397876","0.12188337227397876","0.12188337227397876"
"95","36290","36290","36290","0.11977795805021418","0.11977795805021418","0.11977795805021418"
"96","36672","36672","36672","0.12228503011908207","0.12228503011908207","0.12228503011908207"
"97","37054","37054","37054","0.1241498196994915","0.1241498196994915","0.1241498196994915"
"98","37436","37436","37436","0.12068249941535333","0.12068249941535333","0.12068249941535333"
"99","37818","37818","37818","0.11797900281417432","0.11797900281417432","0.11797900281417432"
